date,time,DOY,Ta,RH,Rg
[yyyy-mm-dd],[HH:MM],[ddd.ddd],[K],[%],[W/m^2]
2019-04-30,13:33,120.5644,272.216,95.3647,182.263
2019-04-30,14:03,120.5853,273.266,83.3539,753.039
2019-04-30,14:33,120.6061,274.460,86.5526,762.739
2019-04-30,15:03,120.6269,273.290,88.5201,346.443
2019-04-30,15:33,120.6478,273.683,79.1269,374.930
2019-04-30,16:03,120.6686,274.634,84.6904,902.934
2019-04-30,16:33,120.6894,272.474,97.1405,306.587
2019-04-30,17:03,120.7103,270.726,99.9166,99.9144
2019-04-30,17:33,120.7311,270.356,99.9314,134.588
2019-04-30,18:03,120.7519,269.984,99.9104,43.5778
2019-04-30,18:33,120.7727,269.716,99.9291,25.3006
2019-04-30,19:03,120.7936,269.673,99.9185,8.22660
2019-04-30,19:33,120.8144,269.755,99.9148,0.211653
2019-04-30,20:03,120.8352,269.851,99.9116,-0.100085
2019-04-30,20:33,120.8561,269.996,99.9259,-0.436846
2019-04-30,21:03,120.8769,270.220,99.9243,-0.254946
2019-04-30,21:33,120.8977,270.749,99.9081,0.211671
2019-04-30,22:03,120.9186,271.173,99.8894,0.872376E-01
2019-04-30,22:33,120.9394,271.151,99.9264,-0.344876
2019-04-30,23:03,120.9602,271.100,99.9345,-0.540934E-02
2019-04-30,23:33,120.9810,271.333,99.9230,0.150799
2019-05-01,00:03,121.0020,271.747,99.9445,0.216392
2019-05-01,00:33,121.0229,271.185,99.9317,-0.536254
2019-05-01,01:03,121.0437,270.655,99.9072,-0.229243
2019-05-01,01:33,121.0645,270.589,99.9101,-0.231279
2019-05-01,02:03,121.0854,270.426,99.9187,-1.21185
2019-05-01,02:33,121.1062,270.166,99.9190,-0.967064
2019-05-01,03:03,121.1270,270.106,99.9068,-0.133905
2019-05-01,03:33,121.1478,270.090,99.9212,-0.167721
2019-05-01,04:03,121.1687,269.152,98.2858,-0.938022
2019-05-01,04:33,121.1895,268.273,95.9131,-0.743281
2019-05-01,05:03,121.2103,267.858,95.4525,-0.953666
2019-05-01,05:33,121.2312,267.633,94.6198,5.86430
2019-05-01,06:03,121.2520,267.416,94.5457,27.0775
